ver,行ったこと,狙い,手元のスコア(VAL or CV),Private Score,Public Score,所感
1,"数値=>平均埋め and カテゴリ=> OneHot
ロジスティック回帰",比較用のベースラインの作成,"train_auc 0.61798
val_auc 0.62675",0.61071,0.62251,"ランダムで0.5だから
思ったより低い。。"
2,"ver1から〇〇_AVG, MEDI, MODE
特徴量を消す","不要そうな特徴量を消して
効果を見る","train_auc 0.61843
val_auc 0.627160",0.61134,0.62275,"ほんの少し上がったが、
そもそもスケーリング無しで未学習?"
3,ver1に標準化を追加する,"スケーリング、学習の高速化、
回帰係数の解釈しやすく","train_auc 0.747766
val_auc 0.74961",0.73372,0.73848,"スケーリングが思ったより大事！
僅かに過学習"
4,ver2に標準化を追加する,"不要そうな特徴量を消して
効果を見る","train_auc 0.74726
val_auc 0.74922",0.73239,0.73843,"ほとんど意味ない特徴だが、
一部は有効なのかもしれない。"
5,"ver4のtrain_test_split を
kfold ensembleにする","データ分けのランダム依存を
防ぐ",AUC: 0.7453±0.0016,0.73255,0.73874,"思ったより上がらなかった。
コード間違ってる？？ or 
そもそもtrain_test_splitで上手く分けられていた？"
6,"ver5に追加
DAYS_BIRTH+CODE_GENDERを用いて
M1, F1の層に分ける","細かい年齢の差が、
返済に影響するとは考えにくい
層ごとに分けて効果を見る",AUC: 0.7458±0.0016,0.73385,0.74049,"少し上がった。
係数を見るとF3 => F2 => F1の順で返済する傾向にある
逆にM〇〇は返す傾向が↑に比べ弱い
~34を~24&~24~34で区切っても良さそう。 => 大学生は返済しにくい"
7,ver6にM0層(~24)を追加,"~24と24~34では
~24の方が返済する傾向が弱い",AUC: 0.7459±0.0015,0.73414,0.74066,"少し上がった。
係数を見ると意外にも~24歳の方が男女ともに返す傾向にある"
8,"AMT_GOODS_PRICEとAMT_INCOME_TOTAL
の比を特徴量として追加","収入に対してどれだけの
ローンを組んだか",AUC: 0.7463±0.0016,0.73444,0.74122,"少し上がった。
他にも四則演算を追加しても良さそう"
9,"AMT_GOODS_PRICEとAMT_CREDIT
の比を特徴量として追加","借金に対してどれだけの
ロームを組もうとしたか",AUC 0.7466±0.0017,0.73499,0.74194,"少し上がった。
他にも四則演算を追加しても良さそう"
10,"AMT_CREDITとAMT_ANNUITY
の比を特徴量として追加","年金に対してどれだかの
借金があるか",AUC 0.7467±0.0017,0.73508,0.74191,"publicが僅かに落ちた。
多重共線性の影響？"
11,"DAYS_EMPLOYEDとDAYS_BIRTH
の比を特徴量として追加","人生の全期間のうち、
現在の仕事に従事している割合",AUC: 0.7466±0.0017,0.73518,0.74204,"僅かに上がった。
地道すぎる。。。"
12,"カテゴリの欠損データをimputeから
ignoreにする","係数を見た感じ、
欠損であることに意味がなさそう",AUC: 0.7466±0.0017,0.73518,0.74204,"全く変わらない。いたずらに次元を増やしていただけだった。
数値データの欠損情報は追加してみるのありかも"
13,"数値データの欠損を
特徴として追加","数値データの欠損には意味が
あるかも(ex. 信用スコアがない人)",AUC: 0.7490±0.0017,0.73811,0.74355,"外部の信用スコアがnanの人は返す傾向が弱い
平均で穴埋めしているが、信用スコアは0で埋めた方が良さそう"
